iter	Passed	Remaining
622	4135	2502
623	4141	2495
624	4147	2488
625	4153	2481
626	4160	2474
627	4166	2468
628	4171	2460
629	4178	2453
630	4184	2446
631	4190	2439
632	4196	2433
633	4203	2426
634	4210	2420
635	4216	2413
636	4223	2406
637	4230	2400
638	4237	2393
639	4243	2387
640	4250	2380
641	4256	2373
642	4262	2366
643	4268	2359
644	4275	2353
645	4281	2346
646	4287	2339
647	4293	2332
648	4300	2325
649	4307	2319
650	4313	2312
651	4320	2305
652	4326	2298
653	4332	2292
654	4337	2284
655	4343	2277
656	4348	2270
657	4355	2263
658	4361	2256
659	4367	2249
660	4373	2243
661	4378	2235
662	4384	2228
663	4390	2221
664	4395	2214
665	4400	2206
666	4406	2200
667	4413	2193
668	4420	2187
669	4426	2180
670	4431	2172
671	4437	2165
672	4443	2159
673	4450	2152
674	4456	2145
675	4462	2138
676	4467	2131
677	4473	2124
678	4480	2118
679	4486	2111
680	4492	2104
681	4498	2097
682	4503	2090
683	4510	2083
684	4517	2077
685	4523	2070
686	4528	2063
687	4534	2056
688	4540	2049
689	4545	2042
690	4552	2035
691	4557	2028
692	4562	2021
693	4567	2013
694	4573	2007
695	4580	2000
696	4586	1993
697	4591	1986
698	4596	1979
699	4603	1972
700	4609	1965
701	4614	1958
702	4620	1952
703	4627	1945
704	4632	1938
705	4638	1931
706	4643	1924
707	4648	1917
708	4654	1910
709	4661	1903
710	4667	1897
711	4673	1890
712	4680	1883
713	4685	1876
714	4691	1870
715	4697	1863
716	4702	1856
717	4709	1849
718	4716	1843
719	4721	1836
720	4728	1829
721	4734	1823
722	4741	1816
723	4747	1809
724	4754	1803
725	4760	1796
726	4766	1789
727	4773	1783
728	4779	1776
729	4785	1770
730	4792	1763
731	4798	1756
732	4804	1749
733	4810	1743
734	4817	1736
735	4822	1729
736	4827	1722
737	4833	1716
738	4839	1709
739	4845	1702
740	4852	1696
741	4858	1689
742	4864	1682
743	4870	1675
744	4876	1669
745	4881	1662
746	4886	1655
747	4893	1648
748	4897	1641
749	4904	1634
750	4910	1628
751	4917	1621
752	4923	1615
753	4930	1608
754	4935	1601
755	4941	1594
756	4947	1588
757	4953	1581
758	4959	1574
759	4966	1568
760	4972	1561
761	4978	1555
762	4985	1548
763	4991	1541
764	4997	1535
765	5004	1528
766	5010	1522
767	5015	1515
768	5020	1508
769	5026	1501
770	5032	1494
771	5039	1488
772	5045	1481
773	5052	1475
774	5058	1468
775	5065	1462
776	5072	1455
777	5076	1448
778	5081	1441
779	5087	1435
780	5093	1428
781	5100	1421
782	5106	1415
783	5112	1408
784	5119	1402
785	5124	1395
786	5130	1388
787	5137	1382
788	5142	1375
789	5147	1368
790	5152	1361
791	5157	1354
792	5162	1347
793	5167	1340
794	5173	1333
795	5178	1327
796	5182	1320
797	5189	1313
798	5195	1307
799	5200	1300
800	5207	1293
801	5213	1287
802	5218	1280
803	5224	1273
804	5230	1267
805	5235	1260
806	5242	1253
807	5247	1246
808	5253	1240
809	5258	1233
810	5263	1226
811	5267	1219
812	5274	1213
813	5281	1206
814	5287	1200
815	5292	1193
816	5298	1186
817	5304	1180
818	5310	1173
819	5316	1167
820	5321	1160
821	5326	1153
822	5332	1146
823	5338	1140
824	5344	1133
825	5351	1127
826	5357	1120
827	5362	1114
828	5367	1107
829	5372	1100
830	5378	1093
831	5385	1087
832	5391	1080
833	5397	1074
834	5403	1067
835	5408	1060
836	5413	1054
837	5419	1047
838	5424	1040
839	5429	1034
840	5436	1027
841	5442	1021
842	5447	1014
843	5453	1007
844	5459	1001
845	5466	995
846	5471	988
847	5477	981
848	5483	975
849	5488	968
850	5494	961
851	5499	955
852	5505	948
853	5511	942
854	5517	935
855	5524	929
856	5531	922
857	5537	916
858	5542	909
859	5547	903
860	5553	896
861	5558	889
862	5564	883
863	5571	876
864	5577	870
865	5582	863
866	5588	857
867	5594	850
868	5599	844
869	5604	837
870	5609	830
871	5616	824
872	5622	817
873	5627	811
874	5634	804
875	5639	798
876	5646	791
877	5653	785
878	5659	779
879	5665	772
880	5672	766
881	5678	759
882	5683	753
883	5690	746
884	5696	740
885	5702	733
886	5708	727
887	5715	720
888	5722	714
889	5727	707
890	5733	701
891	5738	694
892	5743	688
893	5749	681
894	5755	675
895	5762	668
896	5768	662
897	5775	655
898	5779	649
899	5786	642
900	5792	636
901	5799	630
902	5804	623
903	5810	617
904	5817	610
905	5822	604
906	5827	597
907	5833	591
908	5839	584
909	5846	578
910	5851	571
911	5856	565
912	5863	558
913	5869	552
914	5874	545
915	5881	539
916	5887	532
917	5893	526
918	5899	519
919	5905	513
920	5912	507
921	5919	500
922	5924	494
923	5931	487
924	5936	481
925	5942	474
926	5947	468
927	5951	461
928	5957	455
929	5962	448
930	5969	442
931	5976	436
932	5981	429
933	5987	423
934	5993	416
935	5999	410
936	6005	403
937	6010	397
938	6017	390
939	6022	384
940	6026	377
941	6033	371
942	6038	364
943	6044	358
944	6051	352
945	6056	345
946	6062	339
947	6069	332
948	6073	326
949	6078	319
950	6083	313
951	6088	306
952	6095	300
953	6101	294
954	6108	287
955	6114	281
956	6119	274
957	6125	268
958	6131	262
959	6138	255
960	6143	249
961	6148	242
962	6154	236
963	6161	230
964	6167	223
965	6172	217
966	6178	210
967	6184	204
968	6191	198
969	6197	191
970	6203	185
971	6209	178
972	6216	172
973	6223	166
974	6229	159
975	6235	153
976	6241	146
977	6248	140
978	6253	134
979	6259	127
980	6264	121
981	6270	114
982	6277	108
983	6282	102
984	6288	95
985	6295	89
986	6301	82
987	6307	76
988	6312	70
989	6319	63
990	6324	57
991	6329	51
992	6334	44
993	6341	38
994	6347	31
995	6352	25
996	6358	19
997	6365	12
998	6371	6
999	6377	0
